番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
1,aāṇa-,aā́ṇa-,無知,100.000%,9,9,0,ajñāna-,,
2,akalaṅka-,akaláṅka-,アカランカ,100.000%,4,4,0,akalaṅka-,,
3,akāara-,akā́ara-,臆病でない,100.000%,2,2,0,akātara-,,
4,akāraṇa-,akāráṇa-,原因のないこと,66.667%,2,3,1,akāraṇa-,,
5,akiattha-,akiáttha-,不本意な,100.000%,2,2,0,,,
6,akka-,ákka-,アルカ、太陽,100.000%,2,2,0,arká-,,
7,akkhaa-,ákkhaa-,アクシャタ,100.000%,3,3,0,ákṣata-,,
8,akkhara-,akkhára-,音節,100.000%,3,3,0,akṣára-,,
9,akkha-,ákkha-,語る,100.000%,2,2,0,ā́khyā-,,
10,akkhia-,ákkhia-,語られた,100.000%,7,7,0,ākhyāta-,,
11,akkhohaṇi-,akkhóhaṇi- / ákkhohaṇi-,完全な軍隊,40.000%,2,5,,akṣauhiṇī-,,
12,agga-,ágga-,先端,100.000%,2,2,0,ágra-,,
13,aṅkusa-,áṅkusa-,鉤,66.667%,2,3,1,aṅkuśa-,,
14,aṅgaa-,áṅgaa-,アンガダ,66.667%,4,6,2,aṅgada-,,
15,aṅgaṅgaa-,aṅgáṅgaa-,アンガとアンガダ,100.000%,2,2,0,,,
16,aṅga-,áṅga-,肢体,73.333%,11,15,4,áṅga-,,
17,aṅga-,áṅga-,アンガ,66.667%,4,6,2,áṅga-,,
18,aṅgāra-,aṅgā́ra-,炭,100.000%,3,3,0,áṅgāra-,,
19,acala-,acála-,動かない、山,100.000%,4,4,0,acala-,,
20,acalenda-,acalendá-/acalénda-,山の主,50.000%,1,2,,acalendra-,,
21,accaria-,accária-,驚嘆すべき,100.000%,4,4,0,āścarya-,,
22,acchanta-,acchánta-,いつつある,75.000%,3,4,0,,,
23,accharā-,áccharā-,アプサラス,66.667%,2,3,1,apsarás-,,
